,train_time_mean,train_time_std,train_time_ci_low,train_time_ci_high,inference_time_mean,inference_time_std,inference_time_ci_low,inference_time_ci_high,skill_variance_mean,skill_variance_std,skill_variance_ci_low,skill_variance_ci_high,engagement_mean,engagement_std,engagement_ci_low,engagement_ci_high,diversity_mean,diversity_std,diversity_ci_low,diversity_ci_high,gender_imbalance_mean,gender_imbalance_std,gender_imbalance_ci_low,gender_imbalance_ci_high,deadlocks_mean,deadlocks_std,deadlocks_ci_low,deadlocks_ci_high
Baseline (All ON),65.09156210422516,1.5206076984345696,63.94494423859021,66.23817996986011,0.03837287425994873,0.004991611878972921,0.034608937404546666,0.042136811115350795,0.205423476126463,0.01009185315372882,0.1978136901604032,0.2130332620925228,1.200625,7.021666937153402e-17,1.200625,1.200625,12.5,0.0,12.5,12.5,0.9,0.45,0.5606764255718851,1.239323574428115,0.0,0.0,0.0,0.0
No Action Masking,65.41934065818786,1.8357752819598263,64.03506992369589,66.80361139267984,0.03709325790405273,0.002474228805208536,0.03522755976597192,0.03895895604213354,0.20363875348992141,0.011002914128109458,0.1953419798208643,0.21193552715897854,1.200625,0.0,1.200625,1.200625,12.5,0.0,12.5,12.5,1.1,0.3905124837953327,0.805533129199481,1.3944668708005192,0.0,0.0,0.0,0.0
No Cubic Penalty,64.53845572471619,1.3949863095150064,63.48656296733193,65.59034848210044,0.03878598213195801,0.003479938027770481,0.036161926553354894,0.04141003771056113,0.2085375244928997,0.010698469061220775,0.20047031835342852,0.21660473063237087,1.200625,1.2161883888976234e-16,1.200625,1.200625,12.5,0.0,12.5,12.5,1.05,0.4,0.7483790449527867,1.3516209550472134,0.0,0.0,0.0,0.0
No Safety Overrides,65.42991464138031,2.20518107982457,63.76709258300848,67.09273669975214,0.037586092948913574,0.007141196532445875,0.032201256653173145,0.042970929244654,0.1988712559507608,0.00991422778273908,0.19139540881979736,0.20634710308172424,1.200625,0.0,1.200625,1.200625,12.5,0.0,12.5,12.5,1.0,0.4609772228646444,0.6523990244613849,1.3476009755386151,0.0,0.0,0.0,0.0
No Preloading,73.60708351135254,6.911249980163749,68.39563896238498,78.8185280603201,0.04058849811553955,0.0033369204122306946,0.03807228531140564,0.04310471091967346,0.2095162248957952,0.012223770647596466,0.20029886145327985,0.21873358833831053,1.200625,9.930136612989092e-17,1.200625,1.200625,12.5,0.0,12.5,12.5,0.9,0.32015621187164245,0.6585854440274431,1.1414145559725568,0.0,0.0,0.0,0.0
